Title,Price,Currency,Category,Quantity Ordered,Seller Name,Rating,Top Rated ,Order Date,Purchase Address,Link's
War 3010: The Revolution (Super Nintendo SNES) *AUTHENTIC*,44.95,US,Video Games & Consoles,0,mjjsviii,273,No,1/7/2021 22:30,"682 Chestnut St, Boston, MA 02215",https://www.ebay.com/itm/194673457070?hash=item2d537137ae:g:x2AAAOSwr1Vhyn6A
Super Mario 3D All-Stars RARE Physical Copy NEVER OPENED,59.99,US,Video Games & Consoles,0,consumerconfidencecorp,80,No,1/12/2021 14:38,"669 Spruce St, Los Angeles, CA 90001",https://www.ebay.com/itm/265472328462?epid=6045284913&hash=item3dcf62430e:g:rFAAAOSwiOVhl6qx
Super Smash Bros Ultimate Nintendo Switch Game,39,US,Video Games & Consoles,0,misslita84,96,No,1/12/2021 14:38,"669 Spruce St, Los Angeles, CA 90001",https://www.ebay.com/itm/324965089975?hash=item4ba96dc2b7:g:CLUAAOSwqXJhyyIa
Hot Wheels ID Cars 2022 New -Your Choice - Update to 12/16/2022,3.99,US,Toys & Hobbies,2261,super-mini-wheels,23613,Top Rated ,1/30/2021 9:27,"333 8th St, Los Angeles, CA 90001",https://www.ebay.com/itm/373056472521?hash=item56dbe605c9:g:JWcAAOSwkQ5hvEZf
SUPER PINK HEART MAKEUP Roblox Series 8 Celebrity cSapphire w/ VIRTUAL ITEM CODE,24.75,US,Toys & Hobbies,42,boston_championship_fan,8995,No,1/29/2021 13:03,"381 Wilson St, San Francisco, CA 94016",https://www.ebay.com/itm/124908074303?hash=item1d1519f53f:g:bJEAAOSwUDNhKHH4
Super Mario 3D All-Stars / Nintendo Switch / neuf sous blister / brand new,39.99,EUR,Video Games & Consoles,6,retrogameplay75011,2987,No,1/2/2021 7:16,"668 Center St, Seattle, WA 98101",https://www.ebay.com/itm/115141689803?epid=21040778227&hash=item1acefac1cb:g:E80AAOSw83VhIPwv
clear file folder super dragon ball vs omnibus banpresto ichiban kuji  A4,0,US,Toys & Hobbies,1,anastazjkalinowsk0,71,No,1/12/2021 10:58,"790 Ridge St, Atlanta, GA 30301",https://www.ebay.com/itm/373540082172?hash=item56f8b951fc:g:URYAAOSwTkhgduVz
Extra Strength Super Potent Gum Disease Cure Stop Bleeding Receding Gums Teeth,10.99,GBP,Health & Beauty,2114,infinitive_imports,124153,No,1/21/2021 10:38,"915 Willow St, San Francisco, CA 94016",https://www.ebay.com/itm/254204096061?hash=item3b2fbeae3d:g:0gEAAOSwOsdcuLzP
"Super Mario Odyssey (Nintendo Switch, 2017)",20.5,EUR,Video Games & Consoles,0,silentdestiny276,153,No,1/8/2021 14:05,"83 7th St, Boston, MA 02215",https://www.ebay.com/itm/255301632040?epid=15050710702&hash=item3b7129c028:g:DfcAAOSwlI9hio8h
Nintendo NES System Console Choose Your Super Mario Game Bundle New 72 Pin,139.99,US,Video Games & Consoles,817,culsam,50393,No,1/18/2021 17:18,"444 7th St, Los Angeles, CA 90001",https://www.ebay.com/itm/193202235404?_trkparms=ispr%3D1&hash=item2cfbc0280c:g:i0oAAOSw5uddyCPF&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd3M8ngECaRA0SmyU4KT%252FngaHO2CIjahS0B%252Bkp9nfyEV3qUDZTaqSXwKNFH4DK5fGs4FttDhE%252Fi5GUZkAaPmuXM%252FBsgvlN28Y9cQpLssqMJ09KSxphOG0a6ET15RA5Vr6gzPkeSBmFMctbZid2kGWLXOopVWvXxNspBDP92Fd1ngiC%252BLPgWeYd0YYftI%252BIWIUJB9dFMWm0UeRIh64MrzE1t5ZL%252BMmy3DzQ7Fy8kbqqZFayNxUsUf3JM4Ub00frHxjHFnyp2VUVcRNYRW8q45dbxYcm8cZevL9ZsWsHxx7gEVvtrTqCIYj99%252BSMWGo9IKv%252BkOrcC0c1ijYyuCgm%252BbdZaY5ZytwDOz1gsbNWTZVQjFp8CWN8yAPYWvwykPasS6zMgl5qZPmFijWBgVeDDOp%252FcplKTGRqKfSExHJPj%252B80ctqqSZFj68Vis37IWLgxmIb%252Fjb2eHhbsYK9L8C3BWBuFbtuju5tBTXmoy36HJ4xD2xHzIQR8u08X9xsGXSrwSD1YTKQ8b4bFOb1WqvR2R2d9ZQOIUlIi6qUy7WHw%252FHeyx5GV2o2pKm2FpVvoU%252B%252BbKWhN%252FCmkqAdM0VLghJC3OPYGB2R5IzcYaJpueE62i%252BhMm2NLn%252FuRXQOFbxHdCpV4Zb%252BpkR5kthEtet2muNFg0TayF426xMDR6eqCS7XDYHOGfao%252BFzVej%252BzP88m4vwqrPLfoTUZ7Nn0vwaHLFey1ByD7E0lnMgJMSSN5G6l4rV2JCQgQMLKP8glpxNpTFT3rBZJ0It2c8QnWHI59wjfjbJZMuD0mvMWwaDaurUptUefYXu9o8%252F6fLwJRw54nB31B54g%7Cclp%3A2334524%7Ctkp%3ABFBMzsP_msBf
